model,epoch,train_loss,train_cls,train_reg,acc,macro_f1,auc_macro_ovr,pr_auc_macro,kappa,alpha,v_rmse,a_rmse,v_r,a_r,v_sagr,a_sagr,v_ccc,a_ccc
resnet50,1,2.0090073541239972,1.9054067637183287,0.10360058319032024,0.18,0.16567760144164279,0.5739044357824444,0.1694012365324141,0.06198277680266249,0.0619827768026624,0.4656648337841034,0.40214502811431885,0.09603027999401093,0.038425616919994354,0.6875,0.75375,0.0357576459646225,0.014359958469867706
resnet50,2,1.838486267723639,1.743370058015571,0.09511621074215924,0.26125,0.25055779674208567,0.6836543933347452,0.2532922519842961,0.15587858791770884,0.15587858791770892,0.46144598722457886,0.3837580680847168,0.1429777443408966,0.13289044797420502,0.68375,0.755,0.05226818099617958,0.059772420674562454
resnet50,3,1.67337079430491,1.5836872881969537,0.08968350733069935,0.3225,0.3019967461428906,0.7545782139403514,0.3243653501710363,0.22620205477618574,0.2262020547761857,0.432962566614151,0.3697877526283264,0.3808141350746155,0.28602567315101624,0.70125,0.755,0.19841021299362183,0.158940389752388
resnet50,4,1.486155000057918,1.4024753139033173,0.08367968529285807,0.36,0.3509996686426461,0.7720308240116194,0.3577944234250148,0.27009250365755644,0.27009250365755655,0.42432424426078796,0.3735285997390747,0.41267186403274536,0.30431827902793884,0.70125,0.755,0.27485647797584534,0.1541132777929306
resnet50,5,1.264522450217682,1.1895751430489712,0.07494730760889823,0.3775,0.37288785649321143,0.7903169361531035,0.3782116185914081,0.28904624411553714,0.28904624411553714,0.41613221168518066,0.36069220304489136,0.4485514163970947,0.3580809235572815,0.71125,0.755,0.3382355570793152,0.2193346470594406
resnet50,6,1.1778049752577353,1.1020791148647513,0.07572585773788493,0.4,0.3938913593373135,0.7963135482786603,0.3922390954030047,0.3132592821771112,0.3132592821771112,0.4103957712650299,0.3620409369468689,0.47592082619667053,0.34653985500335693,0.7175,0.755,0.36007243394851685,0.21845224499702454
resnet50,7,0.9657220039638962,0.8990190665622769,0.06670293985642131,0.3975,0.3977830458980895,0.7972118988215148,0.3925209947280508,0.3107011149266458,0.31070111492664587,0.4125841557979584,0.3564422130584717,0.4639001786708832,0.3764053285121918,0.71,0.76125,0.352570503950119,0.2778438925743103
resnet50,8,0.7365815736011029,0.6743985309791625,0.062183039787505785,0.41375,0.41202812473506967,0.7917308766005597,0.40022713000157384,0.33038263849229016,0.3303826384922901,0.41024482250213623,0.36406269669532776,0.4754124581813812,0.32883772253990173,0.72125,0.7575,0.37812715768814087,0.2440369874238968
resnet50,9,0.6946023265228826,0.6318310858048883,0.06277124121873667,0.39125,0.3851893286945867,0.7890295200088249,0.4007464675426031,0.3036938540616667,0.3036938540616667,0.40927422046661377,0.36893537640571594,0.4887211322784424,0.34507670998573303,0.72875,0.7675,0.39686015248298645,0.2520524263381958
resnet50,10,0.5992963939355515,0.541609159053285,0.057687235461613764,0.40375,0.4034560196329313,0.7870168067844905,0.40024300773385685,0.31878066022578777,0.31878066022578777,0.41126683354377747,0.3712475299835205,0.4739125370979309,0.3127204179763794,0.72125,0.7575,0.388693243265152,0.23065467178821564
resnet50,11,0.474798922139654,0.4210094914897675,0.053789430125853764,0.4275,0.42631331749505885,0.7982835612705257,0.4126634103363182,0.34554249061807296,0.34554249061807296,0.4002612233161926,0.36546358466148376,0.5120423436164856,0.3428671956062317,0.73875,0.7625,0.4320414662361145,0.2653622329235077
resnet50,12,0.4983243318452206,0.441621890065073,0.05670244374585248,0.39125,0.38555921566634305,0.7774091449915481,0.37792675479182836,0.3029825405713897,0.30298254057138974,0.422590970993042,0.36053141951560974,0.4415525197982788,0.36341992020606995,0.71625,0.76375,0.3764868676662445,0.29137566685676575
resnet50,13,0.4651345591427349,0.41079885612971784,0.05433570532109,0.40125,0.3966689901043272,0.7891098920226978,0.4035453373899487,0.3148039538243666,0.31480395382436654,0.40827763080596924,0.35428115725517273,0.4918181002140045,0.39124494791030884,0.73375,0.765,0.41124266386032104,0.29650774598121643
resnet50,14,0.5190070344996326,0.46465452910214894,0.05435250489441221,0.39125,0.3913059279913003,0.7856925099883769,0.397179630194313,0.3042136506995367,0.30421365069953676,0.4131697714328766,0.35617685317993164,0.4628216326236725,0.37483376264572144,0.72625,0.76125,0.3645019233226776,0.283728688955307
resnet50,15,0.5382808704289022,0.4816199535455656,0.056660916808807464,0.4025,0.4029493691243814,0.7878489163817799,0.4039372489041815,0.31763513465285764,0.31763513465285753,0.40063905715942383,0.35631704330444336,0.5104612112045288,0.3718883991241455,0.72625,0.765,0.40696296095848083,0.2837527096271515
resnet50,16,0.38842062086621537,0.3331871937323395,0.05523342574577139,0.3975,0.39394690755425077,0.7992669991482965,0.42168208900536375,0.31097085921362044,0.31097085921362044,0.3985487222671509,0.34812361001968384,0.5198291540145874,0.4139891266822815,0.7325,0.76875,0.4132694602012634,0.3084111213684082
